id,group_id,sender_id,content,message_type,reply_to,created_at,updated_at,note_id
95e61b7b-01b7-4db9-9cb2-ccf9c314d382,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,Mad!! Typing... you jus add am?,text,,2025-09-30 23:36:58.910652+00,,
9f6690f9-3724-4ca8-8992-2136e2a61b38,90d9845a-742e-42ad-aa7b-c2fb948c58f5,e8f0a207-7e1f-4cdc-acad-01b188e74ad4,yo,text,,2025-10-11 18:36:24.885616+00,,
a3094ae8-0d16-40f6-a4bc-55ea25915b0d,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,It makes sense,text,c1092bf4-2f22-47bc-8485-73cb5c76e746,2025-10-01 02:21:12.889034+00,,
a3d6f151-88a8-4d28-a38d-f49e96c51537,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,Mehnnn!,text,08c3b546-d1f6-4b28-83d6-ac52fb09d3eb,2025-09-30 23:38:06.322287+00,,
a9fd79bd-502e-49af-8447-c413556484a1,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,Omo this senior dev ehnn🙌🙌,text,,2025-09-30 23:51:58.68686+00,,
aa532e67-ae96-4021-bc8b-4c013b9cb668,4ad93d4c-fafe-4dcc-a237-5eed416375cd,ec45ed0d-4b29-4fab-aced-8ea48094ef01,it has been a long time,text,bd63f0b8-2c94-46cb-bca3-2a5c61ba728b,2025-10-28 19:46:13.77897+00,,
aa61b0da-f9ff-42e7-a283-b3b0e2ee5ad0,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,Send your aza,text,38ff87ee-1c47-4b39-a676-64ea69ea46bf,2025-10-01 10:30:14.399283+00,,
ab33cf25-97ee-4ab8-8b1c-d3ac6367eec2,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,i think it makes sense actually,text,53a7e476-443f-45df-ad23-89223012987b,2025-09-30 22:38:13.927518+00,,
aeab0a4c-fa65-4e5e-b911-ca40726d6296,90d9845a-742e-42ad-aa7b-c2fb948c58f5,d4ab10d3-f4d9-497f-a009-6224368627d2,"7036626371
Opay 


Quadri Basit Ayomide",text,aa61b0da-f9ff-42e7-a283-b3b0e2ee5ad0,2025-10-01 10:30:52.839659+00,,
b1561b0f-fbb1-4f9a-95ef-f2d9618b5e72,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,check this out,text,,2025-11-21 08:35:25.2428+00,,e4f13475-59d2-4bfb-902f-25964999172e
b3429b63-bf2b-4dfc-a21f-021493bfe1fe,90d9845a-742e-42ad-aa7b-c2fb948c58f5,d4ab10d3-f4d9-497f-a009-6224368627d2,okay nah,text,6985e3b3-2c6e-4879-ac89-6c44d23bafbe,2025-10-01 10:29:47.575483+00,,
